1,REALIZA ANÁLISIS FÍSICOS Y QUÍMICOS A LA MATERIA PRIMA
2,CODIFICA SOFTWARE DE SISTEMAS INFORMÁTICOS
3,LENGUA Y COMUNICACIÓN II
4,CIENCIAS SOCIALES II
5,FORMACIÓN SOCIOEMOCIONAL II
6,CONSERVACIÓN DE LA ENERGÍA Y SUS INTERACCIONES CON LA MATERIA
7,CULTURA DIGITAL II
8,INGLES II
9,PREPARA SOLUCIONES Y MUESTRAS PARA LAS OPERACIONES BÁSICAS DEL LABORATORIO
10,PENSAMIENTO MATEMÁTICO II
11,PREPARA INSTRUMENTAL Y EQUIPO DE LABORATORIO DE ACUERDO A PROCESOS ESTANDARIZADOS
12,UTILIZA TÉCNICAS DE SEPARACIÓN Y PURIFICACIÓN CON BASE A PROCEDIMIENTOS ESTANDARIZADOS
13,MÓDULO I. ASISTE EN LAS OPERACIONES BÁSICAS DEL LABORATORIO DE ACUERDO A PROCESOS ESTANDARIZADOS
14,GESTIONA ARCHIVOS Y DISPOSITIVOS OFIMÁTICOS
15,INSTALA Y CONFIGURA SISTEMAS OPERATIVOS Y APLICACIONES DE LA OFIMÁTICA
16,LA CONSERVACIÓN DE LA ENERGÍA Y SU INTERACCIÓN CON LA MATERIA
17,PREPARA SOLUCIONES PARA LAS OPERACIONES BÁSICAS DEL LABORATORIO
18,DISEÑA SOFTWARE DE SISTEMAS INFORMÁTICOS
19,IMPLEMENTA SOFTWARE DE SISTEMAS INFORMÁTICOS
20,INSTALA Y CONFIGURA EQUIPO DE CÓMPUTO Y PERIFÉRICOS
21,GESTIONA RECURSOS MEDIANTE EL USO DE REDES DE COMPUTADORAS
22,TEMAS SELECTOS DE MATEMÁTICAS I
23,"REACCIONES QUÍMICAS, CONSERVACIÓN DE LA MATERIA EN LA FORMACIÓN DE NUEVAS SUBSTANCIAS."
24,CONCIENCIA HISTÓRICA I. PERSPECTIVAS DEL MÉXICO ANTIGUO EN LOS CONTEXTOS GLOBALES
25,FORMACIÓN SOCIOEMOCIONAL IV
26,EMPLEA TÉCNICAS CLÁSICAS DE ANÁLISIS CUANTITATIVO
27,REACCIONES QUÍMICAS: CONSERVACIÓN DE LA MATERIA EN LA FORMACIÓN DE NUEVAS SUBSTANCIAS.
28,IMPLEMENTA BASE DE DATOS NO RELACIONALES EN UN SISTEMA DE INFORMACIÓN
29,REALIZA ANÁLISIS CUANTITATIVOS EMPLEANDO MÉTODOS INSTRUMENTALES
30,CIENCIAS SOCIALES III
31,REALIZA LOS PROCESOS DE TRANSFORMACIÓN DE DIFERENTES PRODUCTOS CÁRNICOS
32,REALIZA ANÁLISIS INMUNOLÓGICOS
33,REALIZA ANÁLISIS CITOQUÍMICOS A LÍQUIDOS Y SECRECIONES CORPORALES
34,INGLES IV
35,REALIZA ANÁLISIS HEMATOLÓGICOS DE SERIE ROJA
36,GESTIONA INFORMACIÓN MEDIANTE EL USO DE SOFTWARE EN LÍNEA
37,IMPLEMENTA BASE DE DATOS RELACIONALES EN UN SISTEMA DE INFORMACIÓN
38,"REALIZA LOS ANÁLISIS FÍSICOS, QUÍMICOS Y MICROBIOLÓGICOS PERTINENTES"
39,REALIZA ANÁLISIS MICROBIOLÓGICOS A LA MATERIA PRIMA
40,CUANTIFICA MICROORGANISMOS
41,TOMA MUESTRAS BIOLÓGICAS
42,CONCIENCIA HISTÓRICA 1: PERSPECTIVAS DEL MÉXICO ANTIGUO EN LOS CONTEXTOS GLOBALES
43,MÓDULO I. AUXILIA EN LOS PROCESOS BÁSICOS DE LABORATORIO CLÍNICO
44,MÓDULO III. ANALIZA FLUIDOS CORPORALES DE INTERÉS CLÍNICO
45,MÓDULO III. EJECUTA MÉTODOS DE ANÁLISIS CUANTITATIVOS QUÍMICOS Y MICROBIOLÓGICOS
46,MÓDULO I. GESTIONA HARDWARE Y SOFTWARE DE LA OFIMÁTICA
47,MÓDULO III. GESTIONA INFORMACIÓN DE MANERA REMOTA
48,MÓDULO III. PROCESA ALIMENTOS CÁRNICOS CON CALIDAD E INOCUIDAD
49,MÓDULO I. DESARROLLA SOFTWARE DE SISTEMAS INFORMÁTICOS
50,MÓDULO III. ADMINISTRA BASES DE DATOS EN UN SISTEMA DE INFORMACIÓN
51,VALIDA LA MATERIA PRIMA PARA EL PROCESO DE TRANSFORMACIÓN
